# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=48000 alt=3 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
948065489,298,288,48,-536870169
948065490,298,288,48,-536870169
948065491,298,288,48,-536870169
948065492,298,288,48,-536870169
948065493,298,288,48,-536870169
948065494,298,294,49,-536870169
948065495,298,288,48,-536870169
948065496,298,288,48,-536870169
948065497,298,288,48,-536870169
948065498,298,288,48,-536870169
948065499,298,288,48,-536870169
948065500,298,288,48,-536870169
948065501,298,288,48,-536870169
948065502,298,288,48,-536870169
948065503,298,288,48,-536870169
948065504,298,294,49,-536870169
948065505,298,288,48,-536870169
948065506,298,288,48,-536870169
948065507,298,288,48,-536870169
948065508,298,288,48,-536870169
948065509,298,288,48,-536870169
948065510,298,288,48,-536870169
948065511,298,288,48,-536870169
948065512,298,288,48,-536870169
948065513,298,288,48,-536870169
948065514,298,294,49,-536870169
948065515,298,288,48,-536870169
948065516,298,288,48,-536870169
948065517,298,288,48,-536870169
948065518,298,288,48,-536870169
948065519,298,288,48,-536870169
948065520,298,288,48,-536870169
948065521,298,288,48,-536870169
948065522,298,288,48,-536870169
948065523,298,288,48,-536870169
948065524,298,294,49,-536870169
948065525,298,288,48,-536870169
948065526,298,288,48,-536870169
948065527,298,288,48,-536870169
948065528,298,288,48,-536870169
948065529,298,288,48,-536870169
948065530,298,288,48,-536870169
948065531,298,288,48,-536870169
948065532,298,288,48,-536870169
948065533,298,288,48,-536870169
948065534,298,294,49,-536870169
948065535,298,288,48,-536870169
948065536,298,288,48,-536870169
948065537,298,288,48,-536870169
948065538,298,288,48,-536870169
948065539,298,288,48,-536870169
948065540,298,288,48,-536870169
948065541,298,288,48,-536870169
948065542,298,288,48,-536870169
948065543,298,288,48,-536870169
948065544,298,294,49,-536870169
948065545,298,288,48,-536870169
948065546,298,288,48,-536870169
948065547,298,288,48,-536870169
948065548,298,288,48,-536870169
948065549,298,288,48,-536870169
948065550,298,288,48,-536870169
948065551,298,288,48,-536870169
948065552,298,288,48,-536870169
948065553,298,288,48,-536870169
948065554,298,294,49,-536870169
948065555,298,288,48,-536870169
948065556,298,288,48,-536870169
948065557,298,288,48,-536870169
948065558,298,288,48,-536870169
948065559,298,288,48,-536870169
948065560,298,288,48,-536870169
948065561,298,288,48,-536870169
948065562,298,288,48,-536870169
948065563,298,288,48,-536870169
948065564,298,294,49,-536870169
948065565,298,288,48,-536870169
948065566,298,288,48,-536870169
948065567,298,288,48,-536870169
948065568,298,288,48,-536870169
948065569,298,288,48,-536870169
948065570,298,288,48,-536870169
948065571,298,288,48,-536870169
948065572,298,288,48,-536870169
948065573,298,288,48,-536870169
948065574,298,294,49,-536870169
948065575,298,288,48,-536870169
948065576,298,288,48,-536870169
948065577,298,288,48,-536870169
948065578,298,288,48,-536870169
948065579,298,288,48,-536870169
948065580,298,288,48,-536870169
948065581,298,288,48,-536870169
948065582,298,288,48,-536870169
948065583,298,288,48,-536870169
948065584,298,294,49,-536870169
948065585,298,288,48,-536870169
948065586,298,288,48,-536870169
948065587,298,288,48,-536870169
948065588,298,288,48,-536870169
948065589,298,288,48,-536870169
948065590,298,288,48,-536870169
948065591,298,288,48,-536870169
948065592,298,288,48,-536870169
948065593,298,288,48,-536870169
948065594,298,294,49,-536870169
948065595,298,288,48,-536870169
948065596,298,288,48,-536870169
948065597,298,288,48,-536870169
948065598,298,288,48,-536870169
948065599,298,288,48,-536870169
948065600,298,288,48,-536870169
948065601,298,288,48,-536870169
948065602,298,288,48,-536870169
948065603,298,288,48,-536870169
948065604,298,294,49,-536870169
948065605,298,288,48,-536870169
948065606,298,288,48,-536870169
948065607,298,288,48,-536870169
948065608,298,288,48,-536870169
948065609,298,288,48,-536870169
948065610,298,288,48,-536870169
948065611,298,288,48,-536870169
948065612,298,288,48,-536870169
948065613,298,288,48,-536870169
948065614,298,294,49,-536870169
948065615,298,288,48,-536870169
948065616,298,288,48,-536870169
948065617,298,288,48,-536870169
948065618,298,288,48,-536870169
948065619,298,288,48,-536870169
948065620,298,288,48,-536870169
948065621,298,288,48,-536870169
948065622,298,288,48,-536870169
948065623,298,288,48,-536870169
948065624,298,294,49,-536870169
948065625,298,288,48,-536870169
948065626,298,288,48,-536870169
948065627,298,288,48,-536870169
948065628,298,288,48,-536870169
948065629,298,288,48,-536870169
948065630,298,288,48,-536870169
948065631,298,288,48,-536870169
948065632,298,288,48,-536870169
948065633,298,288,48,-536870169
948065634,298,294,49,-536870169
948065635,298,288,48,-536870169
948065636,298,288,48,-536870169
948065637,298,288,48,-536870169
948065638,298,288,48,-536870169
948065639,298,288,48,-536870169
948065640,298,288,48,-536870169
948065641,298,288,48,-536870169
948065642,298,288,48,-536870169
948065643,298,288,48,-536870169
948065644,298,294,49,-536870169
948065645,298,288,48,-536870169
948065646,298,288,48,-536870169
948065647,298,288,48,-536870169
948065648,298,288,48,-536870169
948065649,298,288,48,-536870169
948065650,298,288,48,-536870169
948065651,298,288,48,-536870169
948065652,298,288,48,-536870169
948065653,298,288,48,-536870169
948065654,298,294,49,-536870169
